EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:46:48	0.0001	1.1778	0.2454	0.7204	0.6500	0.6834	0.5382
2	14:02:05	0.0002	0.3400	0.1954	0.7589	0.7216	0.7398	0.6073
3	14:17:08	0.0003	0.3069	0.1781	0.7831	0.7586	0.7706	0.6446
4	14:32:17	0.0004	0.2939	0.1710	0.7891	0.7805	0.7848	0.6637
5	14:47:39	0.0005	0.2890	0.1725	0.7897	0.7703	0.7799	0.6579
6	15:03:01	0.0006	0.2886	0.1809	0.7977	0.7432	0.7695	0.6433
7	15:18:25	0.0007	0.2922	0.1719	0.7930	0.7673	0.7799	0.6581
8	15:33:56	0.0008	0.2986	0.1755	0.7846	0.7597	0.7719	0.6516
9	15:49:15	0.0009	0.3057	0.1760	0.7746	0.7621	0.7683	0.6456
10	16:04:40	0.0010	0.3120	0.1745	0.7868	0.7802	0.7835	0.6667
11	16:19:54	0.0010	0.3160	0.1818	0.7641	0.7590	0.7616	0.6435
12	16:35:13	0.0010	0.3146	0.1799	0.7751	0.7602	0.7676	0.6447
13	16:50:33	0.0010	0.3146	0.1873	0.7799	0.7497	0.7645	0.6404
14	17:05:49	0.0010	0.3131	0.1850	0.7804	0.7618	0.7710	0.6497
15	17:21:19	0.0009	0.3121	0.1765	0.7834	0.7625	0.7728	0.6506
16	17:36:34	0.0009	0.3110	0.1837	0.7989	0.7605	0.7792	0.6561
17	17:52:08	0.0009	0.3100	0.1922	0.7728	0.7405	0.7563	0.6273
18	18:07:32	0.0009	0.3095	0.1745	0.7682	0.7687	0.7684	0.6479
19	18:22:53	0.0009	0.3087	0.1774	0.7860	0.7753	0.7806	0.6626
20	18:38:13	0.0009	0.3084	0.1755	0.7936	0.7756	0.7845	0.6678
21	18:53:44	0.0009	0.3080	0.1811	0.7803	0.7571	0.7685	0.6471
22	19:09:10	0.0009	0.3065	0.1786	0.7766	0.7648	0.7707	0.6509
23	19:24:34	0.0009	0.3049	0.1815	0.7854	0.7523	0.7685	0.6447
24	19:39:47	0.0008	0.3035	0.1735	0.7821	0.7741	0.7781	0.6586
25	19:55:00	0.0008	0.3029	0.1756	0.7862	0.7762	0.7811	0.6622
26	20:10:20	0.0008	0.3027	0.1789	0.7890	0.7599	0.7742	0.6513
27	20:25:44	0.0008	0.3023	0.1760	0.7870	0.7693	0.7781	0.6558
28	20:40:56	0.0008	0.3017	0.1791	0.7882	0.7598	0.7737	0.6503
