EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:43:12	0.0001	1.4693	0.3061	0.6791	0.5356	0.5989	0.4450
2	14:07:59	0.0002	0.3617	0.2070	0.7434	0.7060	0.7242	0.5884
3	14:32:48	0.0003	0.2998	0.1832	0.7581	0.7397	0.7488	0.6220
4	14:57:30	0.0004	0.2835	0.1745	0.7696	0.7563	0.7629	0.6372
5	15:22:14	0.0005	0.2804	0.1691	0.7608	0.7555	0.7582	0.6338
6	15:46:56	0.0006	0.2807	0.1730	0.7646	0.7447	0.7545	0.6281
7	16:11:39	0.0007	0.2821	0.1702	0.7682	0.7631	0.7656	0.6425
8	16:36:19	0.0008	0.2855	0.1690	0.7671	0.7588	0.7629	0.6385
9	17:01:07	0.0009	0.2886	0.1684	0.7637	0.7666	0.7652	0.6419
10	17:25:54	0.0010	0.2925	0.1748	0.7587	0.7510	0.7548	0.6293
11	17:50:33	0.0010	0.2948	0.1726	0.7598	0.7635	0.7616	0.6357
12	18:15:14	0.0010	0.2952	0.1743	0.7608	0.7523	0.7566	0.6305
13	18:39:56	0.0010	0.2951	0.1685	0.7645	0.7811	0.7727	0.6521
14	19:04:40	0.0010	0.2948	0.1733	0.7751	0.7599	0.7675	0.6437
15	19:29:18	0.0009	0.2937	0.1771	0.7634	0.7479	0.7555	0.6301
16	19:54:06	0.0009	0.2941	0.1727	0.7618	0.7555	0.7587	0.6358
17	20:18:50	0.0009	0.2928	0.1752	0.7661	0.7453	0.7555	0.6286
18	20:43:38	0.0009	0.2929	0.1738	0.7634	0.7474	0.7553	0.6294
19	21:08:22	0.0009	0.2932	0.1787	0.7607	0.7401	0.7503	0.6244
20	21:33:03	0.0009	0.2920	0.1713	0.7690	0.7621	0.7655	0.6418
21	21:57:52	0.0009	0.2910	0.1675	0.7578	0.7649	0.7614	0.6397
22	22:22:34	0.0009	0.2914	0.1751	0.7505	0.7469	0.7487	0.6266
23	22:47:19	0.0009	0.2906	0.1719	0.7680	0.7596	0.7638	0.6390
24	23:12:07	0.0008	0.2906	0.1681	0.7633	0.7700	0.7666	0.6428
25	23:36:55	0.0008	0.2892	0.1686	0.7682	0.7618	0.7650	0.6421
26	00:01:51	0.0008	0.2884	0.1713	0.7721	0.7606	0.7663	0.6414
27	00:26:36	0.0008	0.2878	0.1699	0.7732	0.7623	0.7677	0.6428
28	00:51:20	0.0008	0.2883	0.1711	0.7628	0.7497	0.7562	0.6277
29	01:16:03	0.0008	0.2886	0.1761	0.7632	0.7433	0.7531	0.6284
30	01:40:48	0.0008	0.2862	0.1720	0.7650	0.7562	0.7606	0.6370
31	02:05:35	0.0008	0.2867	0.1754	0.7617	0.7468	0.7542	0.6251
32	02:30:23	0.0008	0.2861	0.1713	0.7727	0.7607	0.7666	0.6413
33	02:55:06	0.0007	0.2860	0.1701	0.7694	0.7667	0.7680	0.6456
34	03:19:44	0.0007	0.2857	0.1672	0.7654	0.7606	0.7630	0.6400
35	03:44:32	0.0007	0.2852	0.1701	0.7692	0.7606	0.7648	0.6419
36	04:09:17	0.0007	0.2848	0.1704	0.7752	0.7603	0.7677	0.6421
37	04:33:58	0.0007	0.2838	0.1742	0.7677	0.7495	0.7585	0.6320
38	04:58:47	0.0007	0.2851	0.1655	0.7665	0.7708	0.7687	0.6461
39	05:23:33	0.0007	0.2847	0.1654	0.7639	0.7759	0.7699	0.6493
40	05:48:31	0.0007	0.2830	0.1687	0.7666	0.7586	0.7626	0.6386
41	06:13:16	0.0007	0.2828	0.1686	0.7743	0.7641	0.7691	0.6439
42	06:38:00	0.0006	0.2828	0.1703	0.7733	0.7580	0.7656	0.6408
43	07:02:51	0.0006	0.2823	0.1670	0.7676	0.7658	0.7667	0.6458
44	07:27:41	0.0006	0.2814	0.1720	0.7650	0.7457	0.7552	0.6300
45	07:52:20	0.0006	0.2818	0.1677	0.7782	0.7624	0.7702	0.6475
46	08:17:03	0.0006	0.2798	0.1674	0.7707	0.7644	0.7675	0.6424
47	08:41:46	0.0006	0.2796	0.1686	0.7703	0.7521	0.7611	0.6370
48	09:06:37	0.0006	0.2799	0.1694	0.7720	0.7598	0.7659	0.6419
49	09:31:30	0.0006	0.2792	0.1683	0.7664	0.7554	0.7608	0.6360
50	09:56:16	0.0006	0.2788	0.1702	0.7636	0.7508	0.7571	0.6310
51	10:21:01	0.0005	0.2788	0.1668	0.7731	0.7655	0.7693	0.6447
52	10:45:47	0.0005	0.2773	0.1687	0.7682	0.7582	0.7632	0.6373
53	11:10:25	0.0005	0.2777	0.1674	0.7633	0.7619	0.7626	0.6385
54	11:35:11	0.0005	0.2783	0.1684	0.7704	0.7634	0.7669	0.6423
55	11:59:59	0.0005	0.2767	0.1667	0.7697	0.7703	0.7700	0.6486
56	12:24:47	0.0005	0.2767	0.1682	0.7709	0.7571	0.7639	0.6383
57	12:49:25	0.0005	0.2758	0.1689	0.7711	0.7516	0.7612	0.6363
58	13:14:04	0.0005	0.2755	0.1649	0.7746	0.7791	0.7768	0.6549
59	13:38:46	0.0005	0.2754	0.1679	0.7794	0.7600	0.7696	0.6459
60	14:03:32	0.0004	0.2748	0.1667	0.7667	0.7550	0.7608	0.6354
61	14:28:13	0.0004	0.2738	0.1663	0.7690	0.7649	0.7670	0.6436
62	14:52:59	0.0004	0.2736	0.1657	0.7705	0.7695	0.7700	0.6482
63	15:12:52	0.0004	0.2740	0.1672	0.7784	0.7682	0.7733	0.6493
64	15:30:35	0.0004	0.2729	0.1651	0.7778	0.7649	0.7713	0.6472
65	15:48:18	0.0004	0.2732	0.1680	0.7734	0.7635	0.7684	0.6443
66	16:06:03	0.0004	0.2722	0.1664	0.7730	0.7678	0.7704	0.6477
67	16:23:47	0.0004	0.2727	0.1671	0.7725	0.7620	0.7672	0.6428
68	16:41:30	0.0004	0.2720	0.1662	0.7727	0.7665	0.7696	0.6458
69	16:59:17	0.0003	0.2712	0.1645	0.7762	0.7733	0.7748	0.6506
70	17:17:03	0.0003	0.2717	0.1650	0.7770	0.7688	0.7729	0.6485
71	17:34:44	0.0003	0.2703	0.1685	0.7767	0.7573	0.7669	0.6410
72	17:52:33	0.0003	0.2702	0.1649	0.7742	0.7716	0.7729	0.6495
73	18:10:17	0.0003	0.2687	0.1661	0.7724	0.7680	0.7702	0.6469
74	18:28:02	0.0003	0.2685	0.1679	0.7802	0.7688	0.7745	0.6505
75	18:45:45	0.0003	0.2690	0.1622	0.7777	0.7787	0.7782	0.6540
76	19:03:25	0.0003	0.2683	0.1649	0.7756	0.7672	0.7714	0.6470
77	19:21:08	0.0003	0.2685	0.1647	0.7748	0.7692	0.7720	0.6497
78	19:39:00	0.0002	0.2666	0.1649	0.7815	0.7685	0.7750	0.6508
79	19:56:37	0.0002	0.2668	0.1655	0.7777	0.7708	0.7742	0.6500
80	20:14:14	0.0002	0.2683	0.1644	0.7795	0.7751	0.7773	0.6541
81	20:31:52	0.0002	0.2672	0.1658	0.7795	0.7645	0.7719	0.6467
82	20:49:22	0.0002	0.2666	0.1666	0.7749	0.7601	0.7674	0.6429
83	21:06:47	0.0002	0.2668	0.1643	0.7789	0.7686	0.7737	0.6508
84	21:24:17	0.0002	0.2654	0.1642	0.7815	0.7683	0.7749	0.6507
85	21:41:58	0.0002	0.2652	0.1653	0.7803	0.7724	0.7763	0.6534
86	21:59:43	0.0002	0.2649	0.1644	0.7772	0.7655	0.7713	0.6476
87	22:17:28	0.0001	0.2649	0.1652	0.7794	0.7649	0.7721	0.6473
88	22:35:14	0.0001	0.2636	0.1646	0.7798	0.7706	0.7752	0.6518
89	22:52:57	0.0001	0.2638	0.1649	0.7775	0.7667	0.7720	0.6469
90	23:10:44	0.0001	0.2629	0.1644	0.7823	0.7724	0.7773	0.6538
91	23:28:32	0.0001	0.2624	0.1633	0.7793	0.7747	0.7770	0.6544
