EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	12:12:36	0.0001	1.7212	0.3846	0.6623	0.3821	0.4846	0.3332
2	12:21:40	0.0002	0.4389	0.2529	0.7075	0.6394	0.6717	0.5266
3	12:30:44	0.0003	0.3519	0.2175	0.7420	0.7050	0.7230	0.5844
4	12:39:48	0.0004	0.3261	0.2094	0.7539	0.7139	0.7334	0.5972
5	12:48:53	0.0005	0.3185	0.1957	0.7587	0.7472	0.7529	0.6214
6	12:57:57	0.0006	0.3175	0.1973	0.7574	0.7270	0.7419	0.6077
7	13:07:06	0.0007	0.3172	0.1964	0.7592	0.7341	0.7464	0.6125
8	13:16:40	0.0008	0.3206	0.1975	0.7520	0.7341	0.7430	0.6101
9	13:29:05	0.0009	0.3215	0.1963	0.7480	0.7326	0.7402	0.6123
10	13:53:01	0.0010	0.3267	0.1989	0.7567	0.7379	0.7472	0.6161
11	14:17:46	0.0010	0.3286	0.1975	0.7632	0.7336	0.7481	0.6152
12	14:42:38	0.0010	0.3281	0.2013	0.7475	0.7311	0.7392	0.6074
13	15:07:26	0.0010	0.3277	0.1954	0.7549	0.7369	0.7458	0.6141
14	15:32:07	0.0010	0.3268	0.1974	0.7549	0.7283	0.7414	0.6101
15	15:56:42	0.0009	0.3258	0.1978	0.7515	0.7364	0.7438	0.6138
16	16:21:26	0.0009	0.3263	0.1921	0.7572	0.7542	0.7557	0.6268
17	16:46:14	0.0009	0.3255	0.2007	0.7554	0.7270	0.7410	0.6079
18	17:10:58	0.0009	0.3248	0.1957	0.7555	0.7397	0.7475	0.6167
19	17:35:37	0.0009	0.3251	0.1964	0.7593	0.7507	0.7550	0.6241
20	18:00:20	0.0009	0.3242	0.1936	0.7561	0.7453	0.7507	0.6218
21	18:25:01	0.0009	0.3248	0.1986	0.7562	0.7325	0.7442	0.6119
22	18:49:44	0.0009	0.3235	0.1983	0.7536	0.7304	0.7418	0.6100
23	19:14:28	0.0009	0.3253	0.1960	0.7620	0.7413	0.7515	0.6194
24	19:39:13	0.0008	0.3246	0.1966	0.7652	0.7452	0.7551	0.6242
25	20:04:01	0.0008	0.3231	0.2012	0.7546	0.7283	0.7412	0.6108
26	20:28:46	0.0008	0.3232	0.1951	0.7545	0.7466	0.7505	0.6206
27	20:53:32	0.0008	0.3213	0.1955	0.7485	0.7311	0.7397	0.6125
28	21:18:22	0.0008	0.3239	0.1972	0.7460	0.7373	0.7416	0.6125
29	21:43:00	0.0008	0.3213	0.1933	0.7603	0.7423	0.7512	0.6219
30	22:08:04	0.0008	0.3213	0.1921	0.7571	0.7304	0.7435	0.6107
31	22:32:49	0.0008	0.3198	0.1948	0.7590	0.7396	0.7492	0.6197
32	22:57:31	0.0008	0.3203	0.1933	0.7662	0.7478	0.7569	0.6287
33	23:22:18	0.0007	0.3199	0.1928	0.7604	0.7446	0.7524	0.6218
34	23:47:12	0.0007	0.3204	0.1984	0.7588	0.7384	0.7485	0.6156
35	00:12:13	0.0007	0.3199	0.1952	0.7601	0.7399	0.7499	0.6187
36	00:37:04	0.0007	0.3177	0.1940	0.7539	0.7364	0.7451	0.6144
37	01:01:50	0.0007	0.3180	0.1958	0.7484	0.7370	0.7427	0.6135
